timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1669997455.639855,-10.938,0.45,1.322,-0.0675,-0.229,-0.0044,-0.038,0.017,-0.002
1669997455.679855,-10.888,0.379,1.339,-0.0661,-0.2275,-0.0068000000000000005,-0.016,0.026000000000000002,-0.03
1669997455.719855,-10.939,0.41100000000000003,1.292,-0.0661,-0.23,-0.0033,0.009000000000000001,0.031,0.009000000000000001
1669997455.759855,-10.947000000000001,0.441,1.315,-0.0659,-0.2278,-0.0053,0.019,0.036000000000000004,0.033
1669997455.799855,-10.906,0.504,1.305,-0.0659,-0.2285,-0.0055000000000000005,0.036000000000000004,0.043000000000000003,0.015
1669997455.839855,-10.932,0.422,1.27,-0.0663,-0.228,-0.0054,0.037,0.041,0.0
1669997455.879855,-10.896,0.384,1.248,-0.0655,-0.2298,-0.0047,-0.002,0.04,-0.001
1669997455.919855,-10.897,0.43,1.248,-0.0658,-0.227,-0.006200000000000001,-0.031,0.027,0.011
1669997455.959855,-10.957,0.533,1.252,-0.0689,-0.2306,-0.006500000000000001,-0.023,0.034,0.017
1669997455.999855,-10.958,0.562,1.2690000000000001,-0.0668,-0.22920000000000001,-0.0059,0.017,0.045,0.004
1669997456.039855,-10.939,0.484,1.2530000000000001,-0.0649,-0.23020000000000002,-0.0081,0.009000000000000001,0.035,0.0
1669997456.079855,-10.942,0.47400000000000003,1.241,-0.066,-0.23140000000000002,-0.0067,0.01,0.042,-0.007
1669997456.119855,-10.97,0.387,1.188,-0.0668,-0.2278,-0.0045000000000000005,-0.02,0.041,-0.005
1669997456.159855,-10.913,0.442,1.218,-0.0661,-0.2277,-0.0059,-0.037,0.027,-0.003
1669997456.1998549,-10.954,0.48,1.252,-0.0668,-0.22790000000000002,-0.0046,-0.032,0.024,-0.002
1669997456.239855,-10.849,0.377,1.2770000000000001,-0.06620000000000001,-0.22740000000000002,-0.0037,-0.009000000000000001,0.019,-0.013000000000000001
1669997456.279855,-11.011000000000001,0.529,1.285,-0.0697,-0.2293,-0.007200000000000001,0.025,0.036000000000000004,0.007
1669997456.319855,-10.939,0.312,1.2750000000000001,-0.06960000000000001,-0.22790000000000002,-0.005200000000000001,0.011,0.033,-0.004
1669997456.359855,-10.923,0.438,1.31,-0.0668,-0.23,-0.0046,0.01,0.032,-0.003
1669997456.399855,-10.919,0.365,1.2670000000000001,-0.0651,-0.22660000000000002,-0.0057,0.007,0.031,0.012
1669997456.4398549,-10.889,0.378,1.307,-0.06720000000000001,-0.2262,-0.0064,-0.005,0.025,0.016
1669997456.479855,-10.928,0.462,1.346,-0.0659,-0.2277,-0.006500000000000001,0.007,0.031,0.006
1669997456.519855,-10.956,0.445,1.298,-0.0668,-0.22560000000000002,-0.0085,0.028,0.045,0.011
1669997456.559855,-10.963000000000001,0.46,1.249,-0.0671,-0.2288,-0.004,0.01,0.049,0.041
1669997456.599855,-10.953,0.441,1.234,-0.0658,-0.23,-0.0078000000000000005,-0.018000000000000002,0.052000000000000005,0.051000000000000004
1669997456.639854,-10.877,0.555,1.272,-0.065,-0.23090000000000002,-0.0043,-0.011,0.042,0.02
1669997456.679854,-10.902000000000001,0.528,1.34,-0.06670000000000001,-0.22970000000000002,-0.0073,0.016,0.024,-0.015
1669997456.719854,-10.98,0.483,1.2530000000000001,-0.0682,-0.22890000000000002,-0.006500000000000001,0.0,0.026000000000000002,0.014
1669997456.759854,-10.93,0.47400000000000003,1.243,-0.0659,-0.23120000000000002,-0.0051,-0.029,0.032,0.035
1669997456.799854,-10.888,0.542,1.2790000000000001,-0.0674,-0.2306,-0.0048000000000000004,-0.041,0.028,0.024
1669997456.839854,-10.962,0.544,1.224,-0.067,-0.22820000000000001,-0.0054,-0.032,0.034,0.004
